MsgID.STATE,1521024548.8232663,False,False
MsgID.LOCAL_VELOCITY,1521024564.3057351,1.4560641,6.8540916,0.0606652
MsgID.GLOBAL_POSITION,1521024564.5556953,-122.3973726,37.7931109,4.9900000
MsgID.LOCAL_VELOCITY,1521024564.5556953,1.1500000,7.7000000,0.0000000
MsgID.LOCAL_POSITION,1521024564.5561070,70.1004181,6.8771853,-4.9907422
MsgID.LOCAL_VELOCITY,1521024564.5561070,1.1580442,7.7040544,-0.0097176
MsgID.GLOBAL_POSITION,1521024564.8068662,-122.3973501,37.7931135,5.0070000
MsgID.LOCAL_VELOCITY,1521024564.8068662,0.9000000,8.3900000,0.0000000
MsgID.LOCAL_POSITION,1521024564.8071249,70.3985825,8.8740740,-5.0074525
MsgID.LOCAL_VELOCITY,1521024564.8071249,0.9098924,8.3957434,0.0033746
MsgID.STATE,1521024565.0240972,True,True
MsgID.GLOBAL_HOME,1521024565.0244501,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1521024565.0553076,-122.3973284,37.7931139,5.0100000
MsgID.LOCAL_VELOCITY,1521024565.0553076,0.7900000,8.6100000,0.1700000
MsgID.LOCAL_POSITION,1521024565.0962937,70.4358826,10.8068142,-5.0100136
MsgID.LOCAL_VELOCITY,1521024565.0962937,0.7986332,8.6130705,0.1719292
MsgID.GLOBAL_POSITION,1521024565.3062162,-122.3973014,37.7931155,4.9950000
MsgID.LOCAL_VELOCITY,1521024565.3062162,0.7500000,8.7600000,0.1400000
